Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-g1a6,randomiser-62yd,Spreadsheet,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,display,randomise_trials,ImageLeft,ImageRight,ImageCentre,TextLeft,TextRight,TextCentre,Answer,OrLeft,OrRight,TextLeft1,TextRight1,TextRight2,TextLeft2,,metadata,metadata.1
33,1636833978457,13/11/2021 20:06:18,1636833978455,0,13/11/2021 20:06:18,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,14,2,Screen 2,fixation,fixation,700.1270000000004,,,0,1,0,,,,Spreadsheet1,1,trials,2,,,,,,Arts,left,,,,,science,humanities,27,practice_congruent,practice_congruent
34,1636833979123,13/11/2021 20:06:19,1636833979125,0,13/11/2021 20:06:19,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,15,1,Screen 1,Zone9,response_keyboard,629.5,left,1,1,0,0,,,,Spreadsheet1,1,trials,2,,,,,,Literature,left,,,,,science,humanities,28,practice_congruent,practice_congruent
35,1636833979817,13/11/2021 20:06:19,1636833979822,0,13/11/2021 20:06:19,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,15,2,Screen 2,fixation,fixation,700.0480000000025,,,0,1,0,,,,Spreadsheet1,1,trials,2,,,,,,Literature,left,,,,,science,humanities,28,practice_congruent,practice_congruent
36,1636833981234,13/11/2021 20:06:21,1636833981229,0,13/11/2021 20:06:21,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,16,1,Screen 1,Zone9,response_keyboard,1360,left,1,1,0,0,,,,Spreadsheet1,1,trials,2,,,,,,Philosophy,left,,,,,science,humanities,25,practice_congruent,practice_congruent
37,1636833981911,13/11/2021 20:06:21,1636833981922,0,13/11/2021 20:06:21,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,16,2,Screen 2,fixation,fixation,699.9700000000012,,,0,1,0,,,,Spreadsheet1,1,trials,2,,,,,,Philosophy,left,,,,,science,humanities,25,practice_congruent,practice_congruent
38,1636833982584,13/11/2021 20:06:22,1636833982590,0,13/11/2021 20:06:22,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,17,1,Screen 1,Zone9,response_keyboard,641.0999999940395,left,1,1,0,0,,,,Spreadsheet1,1,trials,2,,,,,,Classics,left,,,,,science,humanities,26,practice_congruent,practice_congruent
39,1636833983278,13/11/2021 20:06:23,1636833983289,0,13/11/2021 20:06:23,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,17,2,Screen 2,fixation,fixation,699.9799999999959,,,0,1,0,,,,Spreadsheet1,1,trials,2,,,,,,Classics,left,,,,,science,humanities,26,practice_congruent,practice_congruent
40,1636833983934,13/11/2021 20:06:23,1636833983948,0,13/11/2021 20:06:23,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,18,1,Screen 1,Zone9,response_keyboard,604.0999999940395,right,1,1,0,0,,,,Spreadsheet1,1,trials,2,,,,,,Geology,right,,,,,science,humanities,21,practice_congruent,practice_congruent
41,1636833984649,13/11/2021 20:06:24,1636833984638,0,13/11/2021 20:06:24,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,18,2,Screen 2,fixation,fixation,700.070000000007,,,0,1,0,,,,Spreadsheet1,1,trials,2,,,,,,Geology,right,,,,,science,humanities,21,practice_congruent,practice_congruent
42,1636833985196,13/11/2021 20:06:25,1636833985210,0,13/11/2021 20:06:25,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,19,1,Screen 1,Zone9,response_keyboard,518.0999999940395,right,1,1,0,0,,,,Spreadsheet1,1,trials,2,,,,,,Physics,right,,,,,science,humanities,18,practice_congruent,practice_congruent
43,1636833985899,13/11/2021 20:06:25,1636833985905,0,13/11/2021 20:06:25,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,19,2,Screen 2,fixation,fixation,700.1770000000106,,,0,1,0,,,,Spreadsheet1,1,trials,2,,,,,,Physics,right,,,,,science,humanities,18,practice_congruent,practice_congruent
44,1636833986478,13/11/2021 20:06:26,1636833986481,0,13/11/2021 20:06:26,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,20,1,Screen 1,Zone9,response_keyboard,526.1000000089407,right,1,1,0,0,,,,Spreadsheet1,1,trials,2,,,,,,Engineering,right,,,,,science,humanities,23,practice_congruent,practice_congruent
45,1636833987164,13/11/2021 20:06:27,1636833987172,0,13/11/2021 20:06:27,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,20,2,Screen 2,fixation,fixation,700.0449999999983,,,0,1,0,,,,Spreadsheet1,1,trials,2,,,,,,Engineering,right,,,,,science,humanities,23,practice_congruent,practice_congruent
46,1636833987727,13/11/2021 20:06:27,1636833987733,0,13/11/2021 20:06:27,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,21,1,Screen 1,Zone9,response_keyboard,505.8999999910593,right,1,1,0,0,,,,Spreadsheet1,1,trials,2,,,,,,Math,right,,,,,science,humanities,20,practice_congruent,practice_congruent
47,1636833988414,13/11/2021 20:06:28,1636833988421,0,13/11/2021 20:06:28,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,21,2,Screen 2,fixation,fixation,699.9339999999938,,,0,1,0,,,,Spreadsheet1,1,trials,2,,,,,,Math,right,,,,,science,humanities,20,practice_congruent,practice_congruent
48,1636833989760,13/11/2021 20:06:29,1636833989750,0,13/11/2021 20:06:29,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,22,1,Screen 1,Zone9,response_keyboard,1268,right,1,0,1,0,,,,Spreadsheet1,1,trials,2,,,,,,Music,left,,,,,science,humanities,30,practice_congruent,practice_congruent
