Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
21,1.62644E+12,16/07/2021 14:09,1.62644E+12,1,16/07/2021 15:09,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1349x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_6-quantised,4
22,1.62644E+12,16/07/2021 14:09,1.62644E+12,1,16/07/2021 15:09,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1349x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_5,3
23,1.62644E+12,16/07/2021 14:09,1.62644E+12,1,16/07/2021 15:09,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1349x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_5-quantised,3
24,1.62644E+12,16/07/2021 14:09,1.62644E+12,1,16/07/2021 15:09,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1349x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_7,3
25,1.62644E+12,16/07/2021 14:09,1.62644E+12,1,16/07/2021 15:09,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1349x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_7-quantised,3
26,1.62644E+12,16/07/2021 14:09,1.62644E+12,1,16/07/2021 15:09,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1349x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_6,3
27,1.62644E+12,16/07/2021 14:09,1.62644E+12,1,16/07/2021 15:09,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1349x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_6-quantised,3
28,1.62644E+12,16/07/2021 14:09,1.62644E+12,1,16/07/2021 15:09,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1349x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_7,3
29,1.62644E+12,16/07/2021 14:09,1.62644E+12,1,16/07/2021 15:09,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1349x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_7-quantised,3
30,1.62644E+12,16/07/2021 14:09,1.62644E+12,1,16/07/2021 15:09,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1349x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,END QUESTIONNAIRE,109736
